Plot_id,region,PHY,carbon_ton_ha,geog_phys_,zone,X,Y,lon,lat,dem,DISTRICT,STATE_CODE,trees/ha_second,trees/ha_first,BA_sqm_ha_second,BA_sqm_ha_first,bio_mass_ad_second,bio_mass_ad_first,crown_cover_second,crown_cover_first,date_first,date_second,duration
137-48-4,2,4&5,115.9011051,4,45,363243.0627,3090156.135,85.61008082,27.92937661,2242,SINDHUPALCHOK,3,5001.96,4852.678425,39.60848119,31.96593125,271.2579056,199.2020952,80,73,2014,2019,1872
137-48-6,2,4&5,127.1178088,4,45,363243.0627,3090456.135,85.61004618,27.93208403,2277,SINDHUPALCHOK,3,3745.12,4285.246843,41.8610546,35.11957031,297.5097654,240.3476451,72,62,2014,2019,1871
138-28-5,2,2,116.6989412,2,45,365308.2576,3010232.825,85.63998861,27.20825579,308,SINDHULI,3,290.92,527.200749,23.11482903,23.23919375,273.1251815,270.2169305,66,75,2012,2017,1713
138-28-6,2,2,23.65805113,2,45,365308.2576,3010382.825,85.63997217,27.20960965,310,SINDHULI,3,370.94,553.9476214,6.943295727,4.951818924,55.3699069,24.62722256,40,26,2012,2017,1713
138-39-1,2,3,12.61193236,3,45,366071.7577,3054069.97,85.64287037,27.6039842,921,KABHREPALANCHOK,3,219.97,127.7660515,5.360839017,3.414275347,29.51728851,19.42566245,29,11,2011,2019,2814
138-39-2,2,3,5.802287448,3,45,366071.7577,3054219.97,85.64285369,27.60533799,951,KABHREPALANCHOK,3,127.78,163.3548652,3.001824587,2.872413194,13.57982169,13.97805825,44.44444444,20,2011,2019,2814
138-39-3,2,3,28.51903163,3,45,366071.7577,3054369.97,85.642837,27.60669178,956,KABHREPALANCHOK,3,188.59,135.2817016,9.352200086,6.773933333,66.74666977,43.67765621,44,50,2011,2019,2885
138-39-4,2,3,14.10853303,3,45,366371.7577,3054069.97,85.64590966,27.60401389,908,KABHREPALANCHOK,3,1456.47,859.6577412,7.507456157,4.062204861,33.01997093,18.81244949,40,33,2011,2019,2814
138-39-5,2,3,19.06819257,3,45,366371.7577,3054219.97,85.64589301,27.60536768,935,KABHREPALANCHOK,3,299.76,84.88263632,6.581588402,3.803222222,44.62768474,25.24988836,26,33,2011,2019,2884
139-30-1,2,2,119.8680968,2,45,369200.4526,3017983.806,85.67845403,27.27859099,386,SINDHULI,3,898.16,1176.862385,26.29317526,29.54947517,280.5423542,310.0005212,75,71,2012,2017,1825
139-30-2,2,2,82.4160392,2,45,369200.4526,3018133.806,85.67843801,27.27994486,441,SINDHULI,3,961.36,967.5294249,19.07213272,17.53432917,192.8886024,169.437925,45,52,2012,2017,1707
139-30-3,2,2,106.99737,2,45,369200.4526,3018283.806,85.67842198,27.28129873,480,SINDHULI,3,191.92,198.0594847,21.37265486,20.27204931,250.4193767,241.5158353,62,68,2012,2017,1706
139-30-4,2,2,64.86641203,2,45,369500.4526,3017983.806,85.68148446,27.27861958,371,SINDHULI,3,97.5,163.1338167,12.43643887,13.50073281,151.8150069,145.011686,44,44,2012,2017,1826
139-37-4,2,3,26.6190693,3,45,370177.2254,3045975.626,85.68533406,27.53132941,1091,KABHREPALANCHOK,3,1023.04,#N/A,12.22535777,#N/A,62.29994942,#N/A,56,#N/A,#N/A,2020,#N/A
139-37-5,2,3,16.45908563,3,45,370177.2254,3046125.626,85.68531795,27.53268324,1140,KABHREPALANCHOK,3,31.84,#N/A,4.162796908,#N/A,38.52126425,#N/A,48.14814815,#N/A,#N/A,2020,#N/A
